price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_rooms,url,area_marla,property_age,total_rooms,luxury_score,bedroom_bathroom_ratio,location_avg_price
97500000,1.0,KANAL,Lahore,DHA Defence,House,5.0,6.0,2020.0,4.0,2026.0,2026.0,2026.0,0.0,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_l_1_kanal_most_elegant_modern_design_bungalow_for_sale_in_dha_phase_6_luxury_living-53075391-1620-1.html,20.0,6.0,4063.0,2030.0,1.1999976000048,81496093.75
30000000,10.0,Marla,Lahore,Bahria Town,House,5.0,6.0,2020.0,2.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_jasmine_block_designer_house_for_sale_in_jasmine_block_sector_c_bahria_town_lahore-49828977-1786-1.html,10.0,6.0,11.0,3.0,1.1999976000048,31127272.727272727
17500000,5.0,Marla,Lahore,Park View City,House,5.0,6.0,2020.0,1.0,0.0,0.0,2.0,2026.0,https://www.zameen.com/Property/park_view_city_park_view_city_-_platinum_block_book_a_on_excellent_location_5_marla_house_in_park_view_city_-_platinum_block-54183350-16617-1.html,5.0,6.0,13.0,2027.0,1.1999976000048,21882758.620689657
32500000,10.0,Marla,Lahore,Bankers Town,House,4.0,4.0,2020.0,0.0,0.0,0.0,0.0,2025.0,https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_10_marla_beautiful_modern_furnished_house_for_sale_in_bankers_avenue_co-operative_housing_society_top_location-53750612-8325-1.html,10.0,6.0,8.0,2025.0,0.9999975000062501,33363636.363636363
40000000,10.0,Marla,Lahore,Bankers Town,House,5.0,6.0,2020.0,0.0,0.0,0.0,1.0,0.0,https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_10_marla_house_for_sale-53824719-8325-1.html,10.0,6.0,12.0,0.0,1.1999976000048,33363636.363636363
37000000,10.0,Marla,Lahore,Bankers Town,House,5.0,5.0,2020.0,2.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_10_marla_new_luxury_house_for_sale-53674259-8325-1.html,10.0,6.0,12.0,3.0,0.9999980000040001,33363636.363636363
31500000,10.0,Marla,Lahore,Park View City,House,5.0,6.0,2020.0,0.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_10_marla_brand_new_house_in_park_view_city_lahore-53589733-1466-1.html,10.0,6.0,11.0,1.0,1.1999976000048,21882758.620689657
21000000,8.0,Marla,Lahore,Other,House,5.0,6.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/marghzar_officers_colony_marghzar_officers_colony_-_block_r_8_marla_double_story_sami_commercial_house_at_jut_chowk_near_margazar-54247037-4024-1.html,8.0,6.0,11.0,0.0,1.1999976000048,37411065.57377049
130000000,1.0,Kanal,Lahore,Other,House,4.0,5.0,2020.0,2.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/township_township_-_sector_a1_1_kanal_double_storey_commercial_house_for_sale-54214917-4254-1.html,20.0,6.0,9.0,2.0,1.2499968750078125,37411065.57377049
18500000,3.5,Marla,Lahore,Sabzazar Scheme,House,5.0,5.0,2020.0,1.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/sabzazar_scheme_sabzazar_scheme_-_block_p_3_5_marla_vip_house_for_sale-53397154-4178-1.html,3.5,6.0,10.0,2.0,0.9999980000040001,29253846.153846152
